pmid,gap_tags,title,doi,journal,year,source_api,status
37539954,['area_compress'],"Unraveling the Phase Behavior, Mechanical Stability, and Protein Reconstitution Properties of Polymer-Lipid Hybrid Vesicles.",10.1021/acs.biomac.3c00498,"{'title': 'Biomacromolecules', 'iso_abbreviation': 'Biomacromolecules'}",2023,pubmed,queued
39728708,['Tm_transition'],Effect of Monosaccharides Including Rare Sugars on the Bilayer Phase Behavior of Dimyristoylphosphatidylcholine.,10.3390/membranes14120258,"{'title': 'Membranes', 'iso_abbreviation': 'Membranes (Basel)'}",2024,pubmed,queued
39468134,['area_compress'],SMARTINI3 parametrization of multi-scale membrane models via unsupervised learning methods.,10.1038/s41598-024-75490-2,"{'title': 'Scientific reports', 'iso_abbreviation': 'Sci Rep'}",2024,pubmed,queued
29733641,['diffusion'],Quantitative Characterization of Cholesterol Partitioning between Binary Bilayers.,10.1021/acs.jctc.8b00140,"{'title': 'Journal of chemical theory and computation', 'iso_abbreviation': 'J Chem Theory Comput'}",2018,pubmed,queued
38635679,['area_compress'],Interfacial Glucose to Regulate Hydrated Lipid Bilayer Properties: Influence of Concentrations.,10.1021/acs.jcim.3c01991,"{'title': 'Journal of chemical information and modeling', 'iso_abbreviation': 'J Chem Inf Model'}",2024,pubmed,queued
29882873,['bending_mod'],"Importance of Hydrophilic Groups on Modulating the Structural, Mechanical, and Interfacial Properties of Bilayers: A Comparative Molecular Dynamics Study of Phosphatidylcholine and Ion Pair Amphiphile Membranes.",10.3390/ijms19061552,"{'title': 'International journal of molecular sciences', 'iso_abbreviation': 'Int J Mol Sci'}",2018,pubmed,queued
36219221,['bending_mod'],Cholesterol Stiffening of Lipid Membranes.,10.1007/s00232-022-00263-9,"{'title': 'The Journal of membrane biology', 'iso_abbreviation': 'J Membr Biol'}",2022,pubmed,queued
39321204,['Tm_transition'],Induction of the Interdigitated Gel Phase of Hydrated Dipalmitoylphosphatidylcholine Bilayers by the Artificial Sweetener Sucralose.,10.1021/acs.jpcb.4c03422,"{'title': 'The journal of physical chemistry. B', 'iso_abbreviation': 'J Phys Chem B'}",2024,pubmed,queued
31981589,['bending_mod'],Membrane stiffness is one of the key determinants of E. coli MscS channel mechanosensitivity.,10.1016/j.bbamem.2020.183203,"{'title': 'Biochimica et biophysica acta. Biomembranes', 'iso_abbreviation': 'Biochim Biophys Acta Biomembr'}",2020,pubmed,queued
40614842,['Tm_transition'],"An advanced spectroscopic and crystallographic study on a synergistic composition of a 1,3,4-thiadiazole derivative and amphotericin B, in model biological liposomal system.",10.1016/j.bbamem.2025.184432,"{'title': 'Biochimica et biophysica acta. Biomembranes', 'iso_abbreviation': 'Biochim Biophys Acta Biomembr'}",2025,pubmed,queued
42336333,['area_compress'],"Membrane mechanics as critical quality attributes in liposomal drug delivery: linking bilayer structure, mechanics, and performance.",10.1016/j.ijpharm.2026.127116,"{'title': 'International journal of pharmaceutics', 'iso_abbreviation': 'Int J Pharm'}",2026,pubmed,queued
33942045,['bending_mod'],Collective dynamics in lipid membranes containing transmembrane peptides.,10.1039/d1sm00314c,"{'title': 'Soft matter', 'iso_abbreviation': 'Soft Matter'}",2021,pubmed,queued
41046029,['Tm_transition'],"Temperature, pressure and salt effects on bilayers of an acidic phospholipid, dipalmitoylphosphatidylglycerol.",10.1016/j.bbamem.2025.184462,"{'title': 'Biochimica et biophysica acta. Biomembranes', 'iso_abbreviation': 'Biochim Biophys Acta Biomembr'}",2025,pubmed,queued
2317551,['diffusion'],Dipyrenylphosphatidylcholines as membrane fluidity probes. Relationship between intramolecular and intermolecular excimer formation rates.,10.1016/S0006-3495(90)82531-5,"{'title': 'Biophysical journal', 'iso_abbreviation': 'Biophys J'}",1990,pubmed,queued
37879075,['area_compress'],Understanding the Mechanical Properties of Ultradeformable Liposomes Using Molecular Dynamics Simulations.,10.1021/acs.jpcb.3c04386,"{'title': 'The journal of physical chemistry. B', 'iso_abbreviation': 'J Phys Chem B'}",2023,pubmed,queued
40233353,['Tm_transition'],Influence of Alcohols on the Bending Rigidity and the Thickness of Phospholipid Membranes: The Role of Chain Length Mismatch.,10.1021/acs.jpcb.4c04282,"{'title': 'The journal of physical chemistry. B', 'iso_abbreviation': 'J Phys Chem B'}",2025,pubmed,queued
39002469,['Tm_transition'],Protonation of palmitic acid embedded in DPPC lipid bilayers obscures detection of ripple phase by FTIR spectroscopy.,10.1016/j.saa.2024.124773,"{'title': 'Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy', 'iso_abbreviation': 'Spectrochim Acta A Mol Biomol Spectrosc'}",2024,pubmed,queued
39834158,['area_compress'],Effects of Lipid Headgroups on the Mechanical Properties and In Vitro Cellular Internalization of Liposomes.,10.1021/acs.langmuir.4c04363,"{'title': 'Langmuir : the ACS journal of surfaces and colloids', 'iso_abbreviation': 'Langmuir'}",2025,pubmed,queued
37866689,['area_compress'],Simulations of na&#xef;ve and KLA-activated macrophage plasma membrane models.,10.1016/j.bbamem.2023.184242,"{'title': 'Biochimica et biophysica acta. Biomembranes', 'iso_abbreviation': 'Biochim Biophys Acta Biomembr'}",2023,pubmed,queued
39610259,['Tm_transition'],Interaction of meloxicam derivatives with phosphatidylcholine bilayers: A calorimetric study.,10.17219/pim/196220,"{'title': 'Polimery w medycynie', 'iso_abbreviation': 'Polim Med'}",2024,pubmed,queued
